anime_name,stats,mal_id,mal_link,detail_link,image_url
,,,,,
Nekopara: Koneko no Hi no Yakusoku,"{'Length (in words)': '1794', 'Words (per minute)': '91.6', 'Unique words': '628', 'Unique words (used once)': '384', 'Unique words (used once %)': '61%', 'Unique words (per minute)': '32.0', 'Unique kanji': '214', 'Difficulty': '1/10'}",37983,https://myanimelist.net/anime/37983/Nekopara__Koneko_no_Hi_no_Yakusoku,anime/1495/nekopara-koneko-no-hi-no-yakusoku,https://cdn.myanimelist.net/images/anime/1102/103268.jpg
,,,,,
Kanojo to Kanojo no Neko,"{'Length (in words)': '480', 'Words (per minute)': '104.3', 'Unique words': '225', 'Unique words (used once)': '155', 'Unique words (used once %)': '68%', 'Unique words (per minute)': '48.9', 'Unique kanji': '145', 'Difficulty': '1/10'}",32491,https://myanimelist.net/anime/32491/Kanojo_to_Kanojo_no_Neko__Everything_Flows,anime/448/kanojo-to-kanojo-no-neko,https://cdn.myanimelist.net/images/anime/9/79716.jpg
,,,,,
Dareka no Manazashi,"{'Length (in words)': '646', 'Words (per minute)': '97.1', 'Unique words': '319', 'Unique words (used once)': '230', 'Unique words (used once %)': '72%', 'Unique words (per minute)': '47.9', 'Unique kanji': '203', 'Difficulty': '1/10'}",17121,https://myanimelist.net/anime/17121/Dareka_no_Manazashi,anime/453/dareka-no-manazashi,https://cdn.myanimelist.net/images/anime/9/46741.jpg
,,,,,
Robot Town Sagami 2028,"{'Length (in words)': '443', 'Words (per minute)': '51.7', 'Unique words': '236', 'Unique words (used once)': '160', 'Unique words (used once %)': '67%', 'Unique words (per minute)': '27.5', 'Unique kanji': '114', 'Difficulty': '1/10'}",33192,https://myanimelist.net/anime/33192/Robot_Town_Sagami_2028,anime/256/robot-town-sagami-2028,https://cdn.myanimelist.net/images/anime/11/79763.jpg
,,,,,
Fate Stay Night: Unlimited Blade Works S2: Sunny Day,"{'Length (in words)': '444', 'Words (per minute)': '59.2', 'Unique words': '217', 'Unique words (used once)': '153', 'Unique words (used once %)': '70%', 'Unique words (per minute)': '28.9', 'Unique kanji': '124', 'Difficulty': '1/10'}",31389,https://myanimelist.net/anime/31389/Fate_stay_night__Unlimited_Blade_Works_2nd_Season_-_Sunny_Day,anime/190/fate-stay-night-unlimited-blade-works-s2-sunny-day,https://cdn.myanimelist.net/images/anime/4/75684.jpg
,,,,,
Yasashii Lion,"{'Length (in words)': '946', 'Words (per minute)': '35.6', 'Unique words': '351', 'Unique words (used once)': '215', 'Unique words (used once %)': '61%', 'Unique words (per minute)': '13.2', 'Unique kanji': '171', 'Difficulty': '1/10'}",12789,https://myanimelist.net/anime/12789/Yasashii_Lion,anime/389/yasashii-lion,https://cdn.myanimelist.net/images/anime/6/35929.jpg
,,,,,
Nekopara OVA,"{'Length (in words)': '4930', 'Words (per minute)': '91.1', 'Unique words': '1244', 'Unique words (used once)': '708', 'Unique words (used once %)': '56%', 'Unique words (per minute)': '23.0', 'Unique kanji': '503', 'Difficulty': '1/10'}",34658,https://myanimelist.net/anime/34658/Nekopara_OVA,anime/1524/nekopara-ova,https://cdn.myanimelist.net/images/anime/7/89829.jpg
,,,,,
Okii Ichinensei to Chiisana Ninensei,"{'Length (in words)': '777', 'Words (per minute)': '32.0', 'Unique words': '285', 'Unique words (used once)': '158', 'Unique words (used once %)': '55%', 'Unique words (per minute)': '11.7', 'Unique kanji': '133', 'Difficulty': '1/10'}",20907,https://myanimelist.net/anime/20907/Ookii_1_Nensei_to_Chiisana_2_Nensei,anime/1441/okii-ichinensei-to-chiisana-ninensei,https://cdn.myanimelist.net/images/anime/1539/112845.jpg
,,,,,
Asagao to Kase-san,"{'Length (in words)': '2552', 'Words (per minute)': '44.1', 'Unique words': '824', 'Unique words (used once)': '504', 'Unique words (used once %)': '61%', 'Unique words (per minute)': '14.2', 'Unique kanji': '384', 'Difficulty': '1/10'}",36214,https://myanimelist.net/anime/36214/Asagao_to_Kase-san,anime/135/asagao-to-kase-san,https://cdn.myanimelist.net/images/anime/1578/94205.jpg
,,,,,
Hoshi no Koe,"{'Length (in words)': '1184', 'Words (per minute)': '48.9', 'Unique words': '432', 'Unique words (used once)': '258', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '17.8', 'Unique kanji': '244', 'Difficulty': '1/10'}",256,https://myanimelist.net/anime/256/Hoshi_no_Koe,anime/887/hoshi-no-koe,https://cdn.myanimelist.net/images/anime/1/2389.jpg
,,,,,
Chiba Pedal,"{'Length (in words)': '640', 'Words (per minute)': '95.5', 'Unique words': '327', 'Unique words (used once)': '217', 'Unique words (used once %)': '66%', 'Unique words (per minute)': '48.8', 'Unique kanji': '184', 'Difficulty': '1/10'}",33522,https://myanimelist.net/anime/33522/Chiba_Pedal__Yowamushi_Pedal_to_Manabu_Jitensha_Koutsuu_Anzen,anime/446/chiba-pedal,https://cdn.myanimelist.net/images/anime/13/80640.jpg
,,,,,
Akagami no Shirayukihime OVA,"{'Length (in words)': '1766', 'Words (per minute)': '74.5', 'Unique words': '662', 'Unique words (used once)': '444', 'Unique words (used once %)': '67%', 'Unique words (per minute)': '27.9', 'Unique kanji': '333', 'Difficulty': '1/10'}",31483,https://myanimelist.net/anime/31483/Akagami_no_Shirayuki-hime__Nandemonai_Takaramono_Kono_Page,anime/71/akagami-no-shirayukihime-ova,https://cdn.myanimelist.net/images/anime/10/77943.jpg
,,,,,
Aggretsuko: We Wish You A Metal Christmas,"{'Length (in words)': '1566', 'Words (per minute)': '74.5', 'Unique words': '647', 'Unique words (used once)': '420', 'Unique words (used once %)': '64%', 'Unique words (per minute)': '30.8', 'Unique kanji': '303', 'Difficulty': '1/10'}",38815,https://myanimelist.net/anime/38815/Aggressive_Retsuko__We_Wish_You_a_Metal_Christmas,anime/61/aggretsuko-we-wish-you-a-metal-christmas,https://cdn.myanimelist.net/images/anime/1435/97291.jpg
,,,,,
Room Mate,"{'Length (in words)': '1987', 'Words (per minute)': '42.2', 'Unique words': '685', 'Unique words (used once)': '432', 'Unique words (used once %)': '63%', 'Unique words (per minute)': '14.5', 'Unique kanji': '357', 'Difficulty': '1/10'}",34393,https://myanimelist.net/anime/34393/Room_Mate,anime/670/room-mate,https://cdn.myanimelist.net/images/anime/10/85196.jpg
,,,,,
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,"{'Length (in words)': '1500', 'Words (per minute)': '51.8', 'Unique words': '567', 'Unique words (used once)': '365', 'Unique words (used once %)': '64%', 'Unique words (per minute)': '19.5', 'Unique kanji': '322', 'Difficulty': '1/10'}",2175,https://myanimelist.net/anime/2175/Kino_no_Tabi__The_Beautiful_World_-_Byouki_no_Kuni_-_For_You,anime/741/kino-no-tabi-the-beautiful-world-byouki-no-kuni-for-you,https://cdn.myanimelist.net/images/anime/8/73906.jpg
,,,,,
Yuru Yuri Nachuyachumi! Plus,"{'Length (in words)': '3151', 'Words (per minute)': '66.7', 'Unique words': '910', 'Unique words (used once)': '541', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '19.2', 'Unique kanji': '370', 'Difficulty': '1/10'}",30902,https://myanimelist.net/anime/30902/Yuru_Yuri_Nachuyachumi_,anime/806/yuru-yuri-nachuyachumi-plus,https://cdn.myanimelist.net/images/anime/2/75992.jpg
,,,,,
Chuunibyou demo Koi ga Shitai! Lite,"{'Length (in words)': '1573', 'Words (per minute)': '56.5', 'Unique words': '665', 'Unique words (used once)': '451', 'Unique words (used once %)': '67%', 'Unique words (per minute)': '23.8', 'Unique kanji': '401', 'Difficulty': '1/10'}",15687,https://myanimelist.net/anime/15687/Chuunibyou_demo_Koi_ga_Shitai_Lite,anime/489/chuunibyou-demo-koi-ga-shitai-lite,https://cdn.myanimelist.net/images/anime/5/42655.jpg
,,,,,
Harmonie,"{'Length (in words)': '1602', 'Words (per minute)': '63.3', 'Unique words': '533', 'Unique words (used once)': '282', 'Unique words (used once %)': '52%', 'Unique words (per minute)': '21.0', 'Unique kanji': '263', 'Difficulty': '1/10'}",20903,https://myanimelist.net/anime/20903/Harmonie,anime/568/harmonie,https://cdn.myanimelist.net/images/anime/2/55197.jpg
,,,,,
Kotonoha no Niwa,"{'Length (in words)': '2138', 'Words (per minute)': '46.9', 'Unique words': '790', 'Unique words (used once)': '487', 'Unique words (used once %)': '61%', 'Unique words (per minute)': '17.3', 'Unique kanji': '411', 'Difficulty': '1/10'}",16782,https://myanimelist.net/anime/16782/Kotonoha_no_Niwa,anime/847/kotonoha-no-niwa,https://cdn.myanimelist.net/images/anime/8/79676.jpg
,,,,,
Yuru Yuri Nachuyachumi!,"{'Length (in words)': '4521', 'Words (per minute)': '74.7', 'Unique words': '1263', 'Unique words (used once)': '723', 'Unique words (used once %)': '57%', 'Unique words (per minute)': '20.8', 'Unique kanji': '528', 'Difficulty': '1/10'}",23225,https://myanimelist.net/anime/23225/Yuru_Yuri_Nachuyachumi,anime/582/yuru-yuri-nachuyachumi,https://cdn.myanimelist.net/images/anime/2/73281.jpg
,,,,,
My Neighbor Totoro,"{'Length (in words)': '2877', 'Words (per minute)': '33.3', 'Unique words': '802', 'Unique words (used once)': '452', 'Unique words (used once %)': '56%', 'Unique words (per minute)': '9.2', 'Unique kanji': '315', 'Difficulty': '1/10'}",523,https://myanimelist.net/anime/523/Tonari_no_Totoro,anime/512/my-neighbor-totoro,https://cdn.myanimelist.net/images/anime/4/75923.jpg
,,,,,
Hotarubi no Mori e,"{'Length (in words)': '1681', 'Words (per minute)': '38.0', 'Unique words': '578', 'Unique words (used once)': '351', 'Unique words (used once %)': '60%', 'Unique words (per minute)': '13.0', 'Unique kanji': '298', 'Difficulty': '1/10'}",10408,https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e,anime/677/hotarubi-no-mori-e,https://cdn.myanimelist.net/images/anime/1599/112267.jpg
,,,,,
Kuro no Sumika: Chronus,"{'Length (in words)': '1141', 'Words (per minute)': '48.0', 'Unique words': '500', 'Unique words (used once)': '348', 'Unique words (used once %)': '69%', 'Unique words (per minute)': '21.0', 'Unique kanji': '274', 'Difficulty': '1/10'}",20889,https://myanimelist.net/anime/20889/Kuro_no_Sumika__Chronus,anime/1559/kuro-no-sumika-chronus,https://cdn.myanimelist.net/images/anime/6/55167.jpg
,,,,,
Zutto Mae Kara Suki Deshita: Kokuhaku Jikkou Iinkai,"{'Length (in words)': '3568', 'Words (per minute)': '56.2', 'Unique words': '967', 'Unique words (used once)': '543', 'Unique words (used once %)': '56%', 'Unique words (per minute)': '15.2', 'Unique kanji': '463', 'Difficulty': '1/10'}",31245,https://myanimelist.net/anime/31245/Zutto_Mae_kara_Suki_deshita__Kokuhaku_Jikkou_Iinkai,anime/481/zutto-mae-kara-suki-deshita-kokuhaku-jikkou-iinkai,https://cdn.myanimelist.net/images/anime/3/82121.jpg
,,,,,
Hidamari Sketch x Hoshi Mittsu,"{'Length (in words)': '17853', 'Words (per minute)': '55.1', 'Unique words': '3039', 'Unique words (used once)': '1623', 'Unique words (used once %)': '53%', 'Unique words (per minute)': '9.3', 'Unique kanji': '934', 'Difficulty': '1/10'}",7062,https://myanimelist.net/anime/7062/Hidamari_Sketch_x_%E2%98%86%E2%98%86%E2%98%86,anime/195/hidamari-sketch-x-hoshi-mittsu,https://cdn.myanimelist.net/images/anime/9/22349.jpg
,,,,,
Kara no Kyoukai: Mirai Fukuin - Extra Chorus,"{'Length (in words)': '1431', 'Words (per minute)': '45.6', 'Unique words': '582', 'Unique words (used once)': '386', 'Unique words (used once %)': '66%', 'Unique words (per minute)': '18.5', 'Unique kanji': '325', 'Difficulty': '1/10'}",22763,https://myanimelist.net/anime/22763/Kara_no_Kyoukai__Mirai_Fukuin_-_Extra_Chorus,anime/903/kara-no-kyoukai-mirai-fukuin-extra-chorus,https://cdn.myanimelist.net/images/anime/3/73930.jpg
,,,,,
Grave of the Fireflies,"{'Length (in words)': '3415', 'Words (per minute)': '30.2', 'Unique words': '1021', 'Unique words (used once)': '611', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '9.0', 'Unique kanji': '484', 'Difficulty': '1/10'}",578,https://myanimelist.net/anime/578/Hotaru_no_Haka,anime/825/grave-of-the-fireflies,https://cdn.myanimelist.net/images/anime/7/75808.jpg
,,,,,
The Borrower Arrietty,"{'Length (in words)': '2660', 'Words (per minute)': '28.5', 'Unique words': '750', 'Unique words (used once)': '427', 'Unique words (used once %)': '56%', 'Unique words (per minute)': '8.0', 'Unique kanji': '348', 'Difficulty': '1/10'}",7711,https://myanimelist.net/anime/7711/Karigurashi_no_Arrietty,anime/454/the-borrower-arrietty,https://cdn.myanimelist.net/images/anime/9/75905.jpg
,,,,,
Ketsuekigata-kun! 3,"{'Length (in words)': '2416', 'Words (per minute)': '105.6', 'Unique words': '908', 'Unique words (used once)': '598', 'Unique words (used once %)': '65%', 'Unique words (per minute)': '39.7', 'Unique kanji': '473', 'Difficulty': '1/10'}",31566,https://myanimelist.net/anime/31566/Ketsuekigata-kun_3,anime/588/ketsuekigata-kun-3,https://cdn.myanimelist.net/images/anime/12/76703.jpg
,,,,,
Hakubo,"{'Length (in words)': '2914', 'Words (per minute)': '56.2', 'Unique words': '979', 'Unique words (used once)': '634', 'Unique words (used once %)': '64%', 'Unique words (per minute)': '18.8', 'Unique kanji': '502', 'Difficulty': '1/10'}",34972,https://myanimelist.net/anime/34972/Hakubo,anime/225/hakubo,https://cdn.myanimelist.net/images/anime/1818/99956.jpg
,,,,,
Gake no Ue no Ponyo,"{'Length (in words)': '3994', 'Words (per minute)': '39.7', 'Unique words': '1101', 'Unique words (used once)': '651', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '10.9', 'Unique kanji': '355', 'Difficulty': '1/10'}",2890,https://myanimelist.net/anime/2890/Gake_no_Ue_no_Ponyo,anime/174/gake-no-ue-no-ponyo,https://cdn.myanimelist.net/images/anime/7/8970.jpg
,,,,,
Kimagure Orange Road: Ano Hi ni Kaeritai,"{'Length (in words)': '3639', 'Words (per minute)': '53.0', 'Unique words': '1014', 'Unique words (used once)': '602', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '14.7', 'Unique kanji': '476', 'Difficulty': '1/10'}",2454,https://myanimelist.net/anime/2454/Kimagure_Orange☆Road__Ano_Hi_ni_Kaeritai,anime/1446/kimagure-orange-road-ano-hi-ni-kaeritai,https://cdn.myanimelist.net/images/anime/1142/106021.jpg
,,,,,
Blood: The Last Vampire,"{'Length (in words)': '862', 'Words (per minute)': '19.7', 'Unique words': '411', 'Unique words (used once)': '275', 'Unique words (used once %)': '66%', 'Unique words (per minute)': '9.4', 'Unique kanji': '258', 'Difficulty': '1/10'}",405,https://myanimelist.net/anime/405/Blood__The_Last_Vampire,anime/366/blood-the-last-vampire,https://cdn.myanimelist.net/images/anime/9/18913.jpg
,,,,,
Recorder to Randoseru Re,"{'Length (in words)': '2299', 'Words (per minute)': '62.5', 'Unique words': '793', 'Unique words (used once)': '474', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '21.5', 'Unique kanji': '398', 'Difficulty': '1/10'}",13377,https://myanimelist.net/anime/13377/Recorder_to_Randoseru_Re%E2%99%AA,anime/371/recorder-to-randoseru-re,https://cdn.myanimelist.net/images/anime/11/38901.jpg
,,,,,
Recorder to Randoseru Do,"{'Length (in words)': '2234', 'Words (per minute)': '59.3', 'Unique words': '717', 'Unique words (used once)': '419', 'Unique words (used once %)': '58%', 'Unique words (per minute)': '19.0', 'Unique kanji': '395', 'Difficulty': '1/10'}",11491,https://myanimelist.net/anime/11491/Recorder_to_Randoseru_Do%E2%99%AA,anime/432/recorder-to-randoseru-do,https://cdn.myanimelist.net/images/anime/13/33003.jpg
,,,,,
Ichigo Mashimaro OVA,"{'Length (in words)': '4181', 'Words (per minute)': '57.7', 'Unique words': '1380', 'Unique words (used once)': '892', 'Unique words (used once %)': '64%', 'Unique words (per minute)': '19.0', 'Unique kanji': '568', 'Difficulty': '1/10'}",1888,https://myanimelist.net/anime/1888/Ichigo_Mashimaro_OVA,anime/773/ichigo-mashimaro-ova,https://cdn.myanimelist.net/images/anime/4/4325.jpg
,,,,,
Ketsuekigata-kun! 4,"{'Length (in words)': '2674', 'Words (per minute)': '114.2', 'Unique words': '903', 'Unique words (used once)': '551', 'Unique words (used once %)': '61%', 'Unique words (per minute)': '38.5', 'Unique kanji': '444', 'Difficulty': '1/10'}",32274,https://myanimelist.net/anime/32274/Ketsuekigata-kun_4,anime/525/ketsuekigata-kun-4,https://cdn.myanimelist.net/images/anime/10/77836.jpg
,,,,,
Hinako Note,"{'Length (in words)': '20738', 'Words (per minute)': '73.0', 'Unique words': '2901', 'Unique words (used once)': '1437', 'Unique words (used once %)': '49%', 'Unique words (per minute)': '10.2', 'Unique kanji': '933', 'Difficulty': '1/10'}",33948,https://myanimelist.net/anime/33948/Hinako_Note,anime/460/hinako-note,https://cdn.myanimelist.net/images/anime/2/84858.jpg
,,,,,
Tamako Love Story,"{'Length (in words)': '4712', 'Words (per minute)': '56.5', 'Unique words': '1212', 'Unique words (used once)': '698', 'Unique words (used once %)': '57%', 'Unique words (per minute)': '14.5', 'Unique kanji': '478', 'Difficulty': '1/10'}",21647,https://myanimelist.net/anime/21647/Tamako_Love_Story,anime/654/tamako-love-story,https://cdn.myanimelist.net/images/anime/1417/91333.jpg
,,,,,
K-ON!,"{'Length (in words)': '20358', 'Words (per minute)': '60.6', 'Unique words': '2943', 'Unique words (used once)': '1497', 'Unique words (used once %)': '50%', 'Unique words (per minute)': '8.7', 'Unique kanji': '858', 'Difficulty': '1/10'}",5680,https://myanimelist.net/anime/5680/K-On,anime/813/k-on,https://cdn.myanimelist.net/images/anime/10/76120.jpg
,,,,,
Hal,"{'Length (in words)': '2028', 'Words (per minute)': '34.2', 'Unique words': '633', 'Unique words (used once)': '378', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '10.6', 'Unique kanji': '305', 'Difficulty': '1/10'}",16528,https://myanimelist.net/anime/16528/Hal,anime/401/hal,https://cdn.myanimelist.net/images/anime/6/46549.jpg
,,,,,
Pupa,"{'Length (in words)': '1579', 'Words (per minute)': '35.2', 'Unique words': '635', 'Unique words (used once)': '419', 'Unique words (used once %)': '65%', 'Unique words (per minute)': '14.1', 'Unique kanji': '360', 'Difficulty': '1/10'}",19315,https://myanimelist.net/anime/19315/Pupa,anime/698/pupa,https://cdn.myanimelist.net/images/anime/2/54395.jpg
,,,,,
Tokyo Ghoul Pinto,"{'Length (in words)': '1802', 'Words (per minute)': '74.3', 'Unique words': '723', 'Unique words (used once)': '478', 'Unique words (used once %)': '66%', 'Unique words (per minute)': '29.8', 'Unique kanji': '375', 'Difficulty': '1/10'}",31297,https://myanimelist.net/anime/31297/Tokyo_Ghoul__Pinto,anime/838/tokyo-ghoul-pinto,https://cdn.myanimelist.net/images/anime/3/78666.jpg
,,,,,
Byousoku 5 Centimeter,"{'Length (in words)': '3414', 'Words (per minute)': '54.5', 'Unique words': '1092', 'Unique words (used once)': '654', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '17.4', 'Unique kanji': '535', 'Difficulty': '1/10'}",1689,https://myanimelist.net/anime/1689/Byousoku_5_Centimeter,anime/339/byousoku-5-centimeter,https://cdn.myanimelist.net/images/anime/10/79674.jpg
,,,,,
Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,"{'Length (in words)': '1568', 'Words (per minute)': '45.7', 'Unique words': '591', 'Unique words (used once)': '374', 'Unique words (used once %)': '63%', 'Unique words (per minute)': '17.2', 'Unique kanji': '325', 'Difficulty': '1/10'}",807,https://myanimelist.net/anime/807/Tsubasa_Chronicle__Tori_Kago_no_Kuni_no_Himegimi,anime/592/tsubasa-chronicle-tori-kago-no-kuni-no-himegimi,https://cdn.myanimelist.net/images/anime/6/45953.jpg
,,,,,
Love Live! School Idol Project,"{'Length (in words)': '24325', 'Words (per minute)': '78.7', 'Unique words': '2907', 'Unique words (used once)': '1381', 'Unique words (used once %)': '47%', 'Unique words (per minute)': '9.4', 'Unique kanji': '897', 'Difficulty': '1/10'}",15051,https://myanimelist.net/anime/15051/Love_Live_School_Idol_Project,anime/44/love-live-school-idol-project,https://cdn.myanimelist.net/images/anime/11/56849.jpg
,,,,,
Kawa no Hikari,"{'Length (in words)': '3728', 'Words (per minute)': '49.8', 'Unique words': '965', 'Unique words (used once)': '528', 'Unique words (used once %)': '54%', 'Unique words (per minute)': '12.8', 'Unique kanji': '324', 'Difficulty': '1/10'}",6554,https://myanimelist.net/anime/6554/Kawa_no_Hikari,anime/154/kawa-no-hikari,https://cdn.myanimelist.net/images/anime/9/47005.jpg
,,,,,
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,"{'Length (in words)': '3236', 'Words (per minute)': '86.6', 'Unique words': '1139', 'Unique words (used once)': '700', 'Unique words (used once %)': '61%', 'Unique words (per minute)': '30.5', 'Unique kanji': '509', 'Difficulty': '1/10'}",18619,https://myanimelist.net/anime/18619/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_Desu,anime/538/girls-und-panzer-kore-ga-hontou-no-anzio-sen-desu,https://cdn.myanimelist.net/images/anime/1959/92804.jpg
,,,,,
